id,cleanLoc
45105051,Alabama
45105045,Alabama
45105046,Alabama
45105047,Alabama
45105048,Alabama
45105049,Alabama
45105050,Alabama
45105054,Alabama
45097054,New Jersey
45094589,Alabama
45094594,Alabama
45094592,Alabama
45094582,Alabama
45094583,Alabama
45094584,Alabama
45094585,Alabama
45094586,Alabama
45094587,Alabama
45094588,Alabama
45094591,Alabama
45094593,Alabama
45094595,Alabama
45077056,Alabama
45050401,Alabama
45043485,Alabama
45014229,Alabama
45014230,Alabama
45014232,Alabama
45008030,Alabama
45008031,Alabama
45008033,Alabama
45008035,Alabama
45008032,Alabama
45008024,Alabama
45008025,Alabama
45008026,Alabama
44989194,Alabama
44942887,Alabama
44931037,Alabama
44931034,Alabama
44852210,Alabama
44852207,Alabama
44843560,Alabama
44821932,Alabama
44821934,Alabama
44812222,Alabama
44812223,Alabama
44803026,Alabama
44797297,Alabama
44797298,Alabama
44797303,Alabama
44789034,Alabama
44789038,Alabama
44789029,Alabama
44789037,Alabama
44756438,Alabama
44741167,Alabama
44681996,Alabama
44675537,Alabama
44640753,Alabama
44518908,Alabama
44509356,Alabama
44446147,Alabama
44429318,Alabama
44064600,Alabama
43710271,Alabama
45107176,Arizona
45100816,Texas
45082249,Arizona
45053395,Arizona
45026074,Texas
44996189,Texas
44968554,Arizona
44868939,California
44868649,Mexico
44868347,California
44809963,Mexico
44809953,Mexico
44809952,Mexico
44809946,Mexico
44809939,Mexico
44803845,Arizona
44731887,Mexico
44663800,Arizona
44628831,South Carolina
44358847,Arizona
44358805,Arizona
43979294,Texas
43891211,New Mexico
43774052,Saudi Arabia
43689173,Arizona
42184627,Arizona
41655318,Mexico
38705887,Egypt
30062667,Tennessee
27232257,Arizona
45061575,Arkansas
44793938,Arkansas
37003305,Arkansas
45002785,California
44840088,California
44671653,California
43767361,California
38072377,California
37794968,California
37794964,California
45105689,Texas
45079773,Texas
"\\touch\\""
""text1",New Mexico
45072179,Texas
45072163,Texas
45072135,Texas
45072111,Texas
45053650,Texas
45031805,Texas
45049319,Colorado
45031789,Texas
45031767,Texas
45031553,Texas
45014568,Texas
44988057,Texas
44988053,Texas
44951979,Texas
44950060,Texas
44950058,Texas
44950056,Texas
44947182,Texas
44946699,Texas
44942961,Colorado
44900086,Texas
44891619,New Mexico
44888299,Texas
44888248,Texas
44888250,Texas
44885172,Texas
44884621,Kansas
44857384,Texas
44857379,Texas
44856305,Texas
44850802,New Mexico
44846248,Texas
44846229,Texas
44846189,Texas
44845585,Texas
44845504,Texas
44845457,Texas
44845446,Texas
44808271,Texas
44764018,Colorado
44763916,Colorado
44740613,Alabama
44739540,Alabama
44681540,Colorado
44677619,Texas
44552192,New Mexico
44510839,Texas
44487137,Texas
44487101,Texas
44487075,Texas
44486838,Texas
44482621,Texas
44451088,Texas
44407159,Kansas
44384323,Kansas
44280561,New Mexico
43970972,Texas
43877389,Afghanistan
43839232,Colorado
43839233,Colorado
43577332,Kansas
43326422,Mexico
42756805,Texas
42279234,New Mexico
42031223,Texas
41940570,New Mexico
41179812,Colorado
40580233,Colorado
40110952,Thailand
40036107,Colorado
45107393,Florida
45106767,California
45105673,Louisiana
45104128,Georgia
45104125,Texas
45104127,Georgia
45104126,Alabama
45104140,Alabama
45104139,Alabama
45104138,Alabama
45100157,North Carolina
45099648,North Carolina
45099303,North Carolina
45098730,North Carolina
45096094,New Jersey
45095558,New Jersey
45095568,West Virginia
45095555,West Virginia
45095541,West Virginia
45095536,West Virginia
45095528,West Virginia
45095518,New Jersey
45095505,New Jersey
45092479,Tennessee
45092480,Tennessee
45092483,Tennessee
45092484,Tennessee
45088658,South Carolina
45088660,South Carolina
45088662,South Carolina
45087536,North Carolina
45087526,North Carolina
45087492,North Carolina
45087457,North Carolina
45087427,North Carolina
45087316,North Carolina
45087303,North Carolina
45087270,North Carolina
45087268,North Carolina
45087248,North Carolina
45087226,North Carolina
45087209,North Carolina
45087190,North Carolina
45087155,North Carolina
45087138,North Carolina
45087114,North Carolina
45087047,North Carolina
45087009,North Carolina
45086969,North Carolina
45086942,North Carolina
45086926,North Carolina
45086911,North Carolina
45086783,North Carolina
45086746,North Carolina
45086709,North Carolina
45086664,North Carolina
45086438,North Carolina
45084637,North Carolina
45084638,Texas
45084639,Texas
45084640,Texas
45084641,Texas
45077412,Louisiana
45077941,Tennessee
45077859,Louisiana
45077799,Louisiana
45077810,Mississippi
45077777,Mississippi
45077768,Mississippi
45077746,Louisiana
45077598,Texas
45077359,Louisiana
45077401,Louisiana
45077251,Louisiana
45076632,Georgia
45076634,North Carolina
45076635,Texas
45076636,Texas
45076637,Texas
45076638,Texas
45072844,West Virginia
45072806,Louisiana
45072741,Louisiana
45072627,Louisiana
45072594,Louisiana
45072541,Louisiana
45071137,Georgia
45070203,Tennessee
45066606,Alabama
45065906,New Jersey
45065885,New Jersey
45065879,New Jersey
45065872,New Jersey
45065861,Arkansas
45064228,Alabama
and when you talk to her she will sometimes tilt hear head to seem like she's concentrating super hard. She's a genius! Prue loves to play and we've discovered that she's taught herself fetch. While this girl is obviously a brainiac and could easily have a future in molecular biology or quantum physics,Tennessee
45062580,South Korea
45062490,South Korea
45057789,Tennessee
45057790,Tennessee
45057001,Georgia
45054618,South Carolina
45053079,Tennessee
45050632,Thailand
45050607,Thailand
45048516,Texas
45048517,Texas
45048518,Texas
45048519,Texas
45048520,Texas
45044587,Louisiana
45044917,Louisiana
45044458,Louisiana
45043977,Louisiana
45043613,Louisiana
45043332,Louisiana
45043065,Louisiana
45038680,Texas
45035953,Florida
45024614,South Carolina
45024618,South Carolina
45024616,South Carolina
45024615,South Carolina
45024617,South Carolina
45024222,Alabama
45024221,Alabama
45023899,Louisiana
45023877,Louisiana
45023811,Louisiana
45023807,Alabama
45023750,Louisiana
45023720,Louisiana
45018109,Texas
45018110,Texas
45016015,Louisiana
45015984,Louisiana
45015969,Louisiana
45015813,Alabama
45013786,Georgia
45013787,Georgia
45013788,Georgia
45013789,Georgia
45013790,Texas
45013791,Texas
45013792,Texas
45013793,Texas
45013794,Texas
45013783,Georgia
45013784,Texas
45013785,Texas
45010972,Aruba
45009489,Mississippi
45009234,Mississippi
45004168,Georgia
45004161,Alabama
44906872,Texas
44906929,Texas
45002544,California
45002043,Texas
44991299,New Jersey
44991071,Texas
44990742,New Jersey
44989855,China
44986616,Texas
44986926,Tennessee
44924713,Georgia
44979082,Texas
44979083,Texas
44976355,Florida
44975348,New York
44971757,Puerto Rico
44971429,California
44969938,New Jersey
44969912,New Jersey
44969848,New Jersey
44969432,Texas
44969435,North Carolina
44963373,Massachusetts
44960201,Texas
44960203,Texas
44957637,Texas
44952153,New Jersey
44952140,New Jersey
44952136,New Jersey
44950825,Louisiana
44950588,Louisiana
44950256,Louisiana
44948712,Arkansas
44946255,Kentucky
44945320,North Carolina
44944031,Georgia
44944027,Georgia
44943979,Georgia
44943134,South Carolina
44941535,Virginia
44941545,Texas
44931071,Texas
44930764,Texas
44930765,Texas
44928173,New York
"\\high five\\""
""text1",Georgia
44904616,Texas
44904617,Texas
44904619,Texas
44895388,Texas
44895381,Texas
44895305,Texas
44895096,Texas
44894428,Texas
44894429,Texas
44889074,West Virginia
44888514,Massachusetts
44888493,Massachusetts
44886851,Texas
44886381,Texas
44886221,Texas
44884880,Thailand
44883681,Washington DC
44883680,Washington DC
44876726,Mississippi
44876727,Mississippi
44876729,Mississippi
44876730,Mississippi
44876731,Mississippi
44872945,Florida
44872946,Florida
44872947,Florida
44872570,Texas
44872571,Texas
44872569,Texas
44870724,China
44869214,China
44867926,Georgia
44866557,Texas
44861906,New Jersey
44855756,Texas
44853939,New York
44852545,Louisiana
44845077,North Carolina
44845027,North Carolina
44843013,North Carolina
44836900,Alabama
44834628,New York
44827919,South Korea
44827365,China
44826639,North Carolina
44824251,Tennessee
44822425,North Carolina
44822418,North Carolina
44821608,Texas
44821609,Texas
44821539,Texas
44818123,Louisiana
44815706,Texas
44812957,South Carolina
44812621,China
44810994,Florida
44809216,Ohio
44809007,Bahamas
44806215,North Carolina
44806200,North Carolina
44806171,North Carolina
44803209,Indiana
44802452,Texas
44802455,Texas
44802456,Texas
44796594,South Carolina
44796595,Texas
44796597,Texas
44796598,Texas
44796593,Texas
44792769,Louisiana
44791240,Ecuador
44790678,Louisiana
44789736,Arkansas
44789694,Thailand
44786300,South Carolina
44781063,Alabama
44771856,Alabama
44771752,Alabama
44764123,Louisiana
44769379,Texas
44769380,Texas
44769385,Georgia
44764403,Louisiana
44764188,Louisiana
44764156,Louisiana
44763711,Alabama
44762190,North Carolina
44756396,New Jersey
44748086,Tennessee
44747546,Louisiana
44745345,North Carolina
44737492,Alabama
44732881,Texas
44723175,New York
44722095,Thailand
44722099,Tennessee
44717263,Texas
44712305,North Carolina
44707156,Texas
44700963,Virginia
44699305,Georgia
44699306,Georgia
44699303,Georgia
44695810,Arkansas
44692944,Florida
44692248,Tennessee
44691046,Georgia
44687813,Tennessee
44686601,Tennessee
44686426,Tennessee
44684934,New Jersey
44684778,New Jersey
44679008,New Jersey
44675272,North Carolina
44672534,Mississippi
44672510,Mississippi
44670312,Thailand
44669101,Texas
44669068,Alabama
44658374,Texas
44658375,Texas
44649395,Georgia
44649313,North Carolina
44649300,North Carolina
44649065,North Carolina
44646640,Bahamas
44629665,South Korea
44625193,New York
44625195,Texas
44625196,Texas
44622697,Texas
44620773,South Carolina
44612039,Texas
44594187,North Carolina
44593640,Louisiana
44592982,Texas
44588448,Bahamas
44587355,New Hampshire
44581077,Texas
44581078,Texas
44577159,Texas
44567832,Bahamas
44555988,Texas
44550171,Texas
44550172,Texas
44550174,Texas
44550175,Texas
44550176,Texas
44550177,Texas
44531830,Georgia
44530646,Texas
44525436,Texas
44525437,Texas
44525441,Texas
44525442,Texas
44525443,Texas
44525445,Texas
44525446,Texas
44525448,Texas
44525449,Texas
44525450,Texas
44525464,Texas
44524706,North Carolina
44521232,Texas
44512800,Thailand
44507036,Mexico
44503725,Louisiana
44503732,Texas
44501837,Bahamas
44499512,Georgia
44497937,Texas
44497938,Texas
44491655,Texas
44491656,Texas
44491657,Texas
44491658,Texas
44491659,Texas
44491661,Texas
44491664,Texas
44481607,Texas
44476321,China
44465337,West Virginia
44463182,South Carolina
44454766,Bahamas
44446616,California
44440350,Texas
44440353,Texas
44435298,Texas
44430221,Thailand
44430225,Mexico
44430227,Thailand
44430233,Thailand
44430246,India
44430217,Florida
44428964,Texas
44426340,Connecticut
44420302,Texas
44417415,Georgia
44413598,Oman
44407940,North Carolina
44403823,Virginia
44403673,Alabama
44391932,Alabama
44383026,South Carolina
44383039,Florida
44358400,Texas
44349110,Texas
44349111,Texas
44349112,Texas
44343158,Texas
44331515,Louisiana
44327544,Louisiana
44314004,Texas
44308306,Jamaica
44304016,Egypt
44303286,Alabama
44288523,Texas
44288524,Texas
44269940,Massachusetts
44266685,Thailand
44259792,Georgia
44259683,New York
44250068,Mississippi
44247112,Alabama
44234512,Texas
44234514,Texas
44208709,Texas
44208710,Texas
44196024,Texas
44185483,Texas
44179580,Texas
44177087,Texas
44175281,Tennessee
44159864,Virginia
44158360,Texas
44153278,North Carolina
44148363,Egypt
44144077,Thailand
44138050,Texas
44138052,Texas
44118323,Texas
44118324,Georgia
44099363,Mississippi
44096913,Texas
44081540,Texas
44075182,Texas
44075184,Texas
44070862,New York
44060120,New York
44055243,California
44052379,Puerto Rico
44045147,Georgia
44005848,Texas
43988448,Georgia
43984935,Texas
43976424,Texas
43968363,Texas
43968367,Louisiana
43947907,West Virginia
43947788,West Virginia
43946482,South Carolina
43945362,Virginia
43932710,Arkansas
43892654,Thailand
43887142,Texas
43887145,Texas
43863237,New York
43839443,Florida
43783338,Tennessee
43780458,North Carolina
43767154,Texas
43762173,Texas
43736069,Texas
43735818,Florida
43703889,Texas
43687845,Texas
43671517,Georgia
43659957,Kentucky
43659280,Mississippi
43650678,Georgia
43633939,New York
43624867,Egypt
43623076,Arkansas
43602991,Maine
43601266,Texas
43583203,North Carolina
43576051,Texas
43576052,Texas
43573025,New York
43550191,Texas
43550192,Texas
43550193,Texas
43546947,Texas
43529811,California
43529318,Egypt
43521079,Texas
43512091,Texas
43476781,Virginia
43474805,Mississippi
43438084,Georgia
43437773,Connecticut
43418982,New York
43382199,Texas
43326806,Louisiana
43311204,Texas
43286683,Texas
43279225,South Carolina
43270299,Georgia
43180832,Louisiana
43138391,South Carolina
43121393,North Carolina
43084598,South Korea
43022718,Georgia
42984473,North Carolina
42977919,Bahamas
42977245,Texas
42975723,Texas
42974368,Connecticut
42971703,Texas
42924971,North Carolina
42799974,North Carolina
42716052,Kuwait
42689948,Florida
42682165,North Carolina
42672307,California
42662787,Alabama
42640407,Texas
42586808,Texas
42572034,South Carolina
42486963,Mississippi
42308856,Egypt
42216312,Illinois
42213251,Texas
42156781,Massachusetts
42081161,Kentucky
42065333,Texas
42011359,Texas
42011360,Texas
42007097,Texas
41978175,Texas
41876293,Texas
41765814,Bahamas
41543587,Georgia
41445517,South Carolina
41433972,Tennessee
41359772,New York
41357686,Bahamas
41357644,Egypt
41307913,Alabama
41144154,South Carolina
41082837,North Carolina
41050584,New Hampshire
41035959,Florida
40941706,Texas
40610971,New York
40561240,Texas
40180371,South Carolina
39955249,Texas
39777150,Alabama
39500870,Georgia
39372670,Texas
39352398,North Carolina
39317818,Texas
39251460,Texas
39223927,Alabama
38588775,Georgia
38347419,New York
38160715,Florida
37848260,Maine
37253070,Maine
36408656,Thailand
36310469,Egypt
35587001,Texas
35557303,China
35011554,Egypt
34677001,New Jersey
33675085,Alabama
33674995,North Carolina
32753766,North Carolina
30473326,North Carolina
45107287,Oklahoma
45107148,Oklahoma
45105999,West Virginia
45105871,North Carolina
45105674,North Carolina
45103285,Texas
45103286,Texas
45103288,Texas
45103287,Texas
45103289,Texas
45097414,Alabama
45096829,Maryland
45096805,Maryland
45096659,Alabama
45096620,Alabama
45096599,Alabama
45096563,Alabama
45095964,North Carolina
45095955,North Carolina
45095949,North Carolina
45095942,North Carolina
45095939,North Carolina
45095927,North Carolina
45095915,North Carolina
45095909,North Carolina
45095891,North Carolina
45095875,North Carolina
45095299,Florida
45095133,South Carolina
45092428,North Carolina
45091359,Alabama
45090785,Alabama
45090373,Alabama
45089969,Alabama
45090100,Louisiana
45089455,Alabama
45086946,Alabama
45086908,Alabama
45086869,Alabama
45086815,Alabama
45086757,Alabama
45086638,Alabama
45086603,Alabama
45086589,Alabama
45086566,Alabama
45086100,Alabama
45086078,Alabama
45086062,Alabama
45086030,Alabama
45085000,Virginia
45083248,North Carolina
45083251,North Carolina
45083252,North Carolina
45083254,North Carolina
45083249,North Carolina
45083253,North Carolina
45083250,North Carolina
45081992,Pennsylvania
45077963,New Jersey
45075253,St. Maarten
45075255,St. Maarten
45073761,New Jersey
45073072,Alabama
45072754,North Carolina
45072247,West Virginia
45059503,Kentucky
45070606,Ohio
45066581,Alabama
45066582,Alabama
45066583,Alabama
45066584,Alabama
45066585,Alabama
45066588,Alabama
45066591,Alabama
45065817,Mississippi
45065644,Florida
45060093,Texas
45060098,Texas
45060095,Texas
45060096,Texas
45060094,Texas
45060092,Texas
45059698,Alabama
45059699,Alabama
45059703,Alabama
45059704,Alabama
45059706,Alabama
45059709,Alabama
45059713,Alabama
45059720,Alabama
45059640,Tennessee
45059300,North Carolina
45059299,North Carolina
45059297,North Carolina
45056378,New Jersey
45050695,Florida
45042985,Alabama
45037509,South Korea
45037140,South Korea
45035809,South Korea
45029812,Puerto Rico
45029477,Virginia
45027915,Texas
45023808,Florida
45021331,Alabama
45019853,Texas
45019850,Texas
45019858,Texas
45019851,Texas
45019866,Texas
45019860,Texas
45019861,Texas
45019862,Texas
45019854,Texas
45019859,Texas
45019864,Texas
45016493,Mississippi
45016486,North Carolina
45015719,Mississippi
45013466,Texas
45013467,Texas
45013468,Texas
45008579,Alabama
45007299,Texas
45007302,Texas
45007300,Texas
45007301,Texas
45007298,Texas
45007294,Texas
45007295,Texas
45007297,Texas
45007293,Texas
45006692,North Carolina
45005097,Alabama
45004846,Alabama
45004309,Alabama
45004152,Alabama
45004095,Alabama
45004117,Virginia
45003997,Virginia
45003986,Virginia
45003921,Alabama
45003891,Alabama
45003822,Alabama
45003137,Texas
45002895,Alabama
45002870,Alabama
45002849,Alabama
45002807,Alabama
45002783,Alabama
45002753,Alabama
45001347,Texas
45001345,Texas
45001349,Texas
45001351,Texas
45001350,Texas
45001353,Texas
45001352,Texas
45000484,North Carolina
45000102,North Carolina
44999923,North Carolina
44998707,Florida
44997762,North Carolina
44997637,Virginia
44995262,Texas
44995261,Texas
44995248,Texas
44995253,Texas
44995265,Texas
44995260,Texas
44995255,Texas
44995254,Texas
44995247,Texas
44995256,Texas
44995258,Texas
44995257,Texas
44995246,Texas
44995259,Texas
44995244,Texas
44995251,Texas
44995249,Texas
44995245,Texas
44995263,Texas
44995264,Texas
44995252,Texas
44995250,Texas
44990564,Alabama
44984440,Georgia
44982036,West Virginia
44978081,North Carolina
44975785,North Carolina
44975660,North Carolina
44974935,Alabama
44972778,West Virginia
44972766,West Virginia
44972465,Alabama
44972455,Alabama
44972435,Alabama
44972430,Alabama
44971190,North Carolina
44971170,North Carolina
44971162,North Carolina
44966422,Mississippi
44953305,Alabama
44953304,Alabama
44952976,West Virginia
44952901,West Virginia
44952831,West Virginia
44949670,New Jersey
44945081,Pennsylvania
44931805,Alabama
44928161,Louisiana
44927364,Alabama
44927286,Alabama
44925221,New Jersey
44923011,Illinois
44916818,Missouri
44915162,Ohio
44908355,Tunisia
44903613,New Jersey
44897889,North Carolina
44897053,South Carolina
44896164,Arkansas
44876344,Louisiana
44876149,Virginia
44873799,Delaware
44858308,Virginia
44853400,North Carolina
44852746,New Jersey
44846634,Alabama
44844263,Alabama
44828702,Alabama
44827717,Virginia
44825793,Turkey
44817117,Puerto Rico
44813356,South Carolina
44812218,Alabama
44809439,Alabama
44809257,Alabama
44797800,Alabama
44797772,Alabama
44790751,Florida
44789722,Alabama
44787160,North Carolina
44780739,Alabama
44780717,Alabama
44780580,Alabama
44779769,Alabama
44770359,North Carolina
44769704,Kentucky
44769706,Kentucky
44763704,Georgia
44762865,South Carolina
44754430,Georgia
44754411,Georgia
44739177,Alabama
44734282,China
44712271,Alabama
44712221,Alabama
44701218,Alabama
44700450,North Carolina
44685321,Qatar
44685291,Qatar
44678868,Virginia
44678836,Virginia
44678654,Alabama
44672472,Virginia
44672390,Alabama
44667045,North Carolina
44665812,West Virginia
44665810,West Virginia
44665811,West Virginia
44665807,West Virginia
44663417,Alabama
44663368,Alabama
44652126,Mississippi
44652121,Mississippi
44652115,Mississippi
44648696,Georgia
44642435,China
44636656,Alabama
44636527,Alabama
44631839,North Carolina
44627959,Kosovo
44623491,Alabama
44617911,Taiwan
44600711,Oregon
44580151,Russia
44580152,Russia
44567530,Taiwan
44539415,Virginia
44529510,Virginia
44516167,Alabama
44515389,North Carolina
44514710,Georgia
44514663,Georgia
44510615,Bahrain
44504799,Alabama
44494165,Alabama
44492774,Kentucky
44488559,Virginia
44483524,Alabama
44483525,Alabama
44479363,North Carolina
44464309,Georgia
44460038,North Carolina
44457863,Spain
44441962,Alabama
44425818,Alabama
44421642,Virginia
44407495,North Carolina
44378528,Maryland
44375488,Virginia
44354740,Georgia
44343993,Georgia
44339851,Georgia
44338676,South Korea
44334655,Kentucky
44333546,China
44330548,Virginia
44322810,South Korea
44322605,South Korea
44320877,North Carolina
44313407,South Korea
44312766,South Korea
44303247,South Korea
44301516,South Korea
44301107,South Korea
44301066,South Korea
44301054,South Korea
44300962,South Korea
44300895,South Korea
44300831,South Korea
44300794,South Korea
44299146,Alabama
44290029,North Carolina
44276909,Taiwan
44274401,Oman
44270247,Alabama
44264892,Alabama
44264838,Alabama
44231660,Oman
44224845,Tennessee
44204202,Alabama
44186073,North Carolina
44185098,West Virginia
44183588,Texas
44176504,Alabama
44146818,Iran
44141684,Virginia
44128547,Tennessee
44111744,Georgia
44088124,Alabama
44087454,Arkansas
44077809,North Carolina
44077727,South Carolina
44065155,Pennsylvania
44060408,Alabama
44046739,Alabama
44039289,Virginia
44011395,North Carolina
44008861,Virginia
43968981,Pennsylvania
43957454,Kentucky
43952953,Thailand
43929954,Virginia
43929975,China
43880580,Alabama
43878413,North Carolina
43852722,Virginia
